id,Order number,Date,Plant family,Placement,Phone,Color,Cost
1,1619,07/12/18,Asteraceae,71 Rutledge Place,982-480-5919,Khaki,$5.09 
2,1556,06/27/18,Solanaceae,0290 Florence Avenue,262-509-4907,Yellow,$7.90 
3,1219,10/20/18,Fagaceae,8 Fairfield Street,234-838-6235,Puce,$9.77 
4,1012,06/18/18,Fabaceae,4100 Swallow Point,256-551-8984,Turquoise,$7.60 
5,1989,08/07/18,Saxifragaceae,785 Waubesa Park,154-491-0827,Pink,$6.14 
6,2418,05/23/18,Fabaceae,96569 Mayfield Park,103-656-1377,Teal,$8.61 
7,1694,06/19/18,Caryophyllaceae,8 Esker Avenue,951-978-5655,Red,$6.05 
8,1503,07/19/18,Scrophulariaceae,3188 Banding Park,443-355-6264,Red,$9.78 
9,2678,06/19/18,Lauraceae,723 Nova Park,338-930-2291,Red,$5.62 
10,1641,05/18/18,Rhamnaceae,5077 Jay Crossing,575-873-9216,Crimson,$7.57 
11,1017,10/14/18,Calycanthaceae,141 Ronald Regan Crossing,827-708-8119,Violet,$9.03 
12,2133,10/06/18,Asteraceae,74949 Knutson Crossing,755-574-6466,Blue,$8.32 
13,2217,07/17/18,Fabaceae,34 Cherokee Street,833-315-5516,Blue,$6.24 
14,1969,09/24/18,Cactaceae,84892 Norway Maple Alley,959-445-4655,Orange,$9.98 
15,1558,10/20/18,Boraginaceae,49 Raven Park,391-783-6997,Blue,$5.58 
16,2228,08/12/18,Liliaceae,207 Roxbury Place,770-587-0840,Goldenrod,$8.32 
17,1358,05/16/18,Liliaceae,69260 Prentice Hill,283-832-8271,Khaki,$8.04 
18,2181,06/07/18,Parmeliaceae,1606 Service Center,602-250-5404,Blue,$7.20 
19,2535,09/04/18,Stereocaulaceae,4322 Northridge Alley,879-456-9830,Maroon,$9.84 
20,2503,05/12/18,Poaceae,07890 Sullivan Pass,592-819-9757,Mauv,$7.27 
21,1794,08/11/18,Asteraceae,37 Farwell Circle,930-772-5939,Fuscia,$7.58 
22,1570,06/10/18,Ericaceae,6 Ohio Pass,636-449-3107,Goldenrod,$9.86 
23,1880,05/03/18,Fabaceae,3818 Westport Way,307-560-1192,Teal,$7.90 
24,1793,05/17/18,Liliaceae,85 Manitowish Drive,713-336-5171,Red,$7.05 
25,1823,07/07/18,Onagraceae,9195 Bobwhite Avenue,905-195-6312,Puce,$7.45 
26,2780,10/27/18,Poaceae,415 Bunker Hill Way,213-316-6733,Orange,$7.40 
27,2461,09/03/18,Primulaceae,148 Quincy Park,749-631-9252,Blue,$7.29 
28,2624,06/19/18,Brassicaceae,97 Miller Street,930-979-8117,Green,$8.16 
29,2273,06/11/18,Scrophulariaceae,83003 Memorial Point,731-481-4430,Yellow,$9.54 
30,2567,05/08/18,Asteraceae,3 Everett Center,122-221-5219,Pink,$5.09 
31,1976,08/23/18,Poaceae,33921 Park Meadow Terrace,724-770-5130,Mauv,$9.46 
32,2813,07/18/18,Fabaceae,37 Heffernan Trail,498-778-4318,Orange,$9.47 
33,2395,05/19/18,Fabaceae,94 Larry Road,375-552-1523,Teal,$5.77 
34,1167,08/02/18,Boraginaceae,84372 Oak Valley Court,739-496-2497,Blue,$5.60 
35,2663,09/22/18,Brassicaceae,65113 Heath Drive,836-215-3784,Yellow,$7.71 
36,2208,07/17/18,Parmeliaceae,9 Goodland Avenue,336-386-3967,Crimson,$7.47 
37,1235,08/26/18,Campanulaceae,0 Hauk Place,526-454-6300,Puce,$7.91 
38,2748,07/17/18,Anacardiaceae,1 Cherokee Trail,632-450-1933,Yellow,$5.55 
39,2599,05/26/18,Theaceae,99072 Carioca Drive,105-851-9775,Blue,$9.37 
40,2559,09/12/18,Dicranaceae,5 Arapahoe Way,714-969-7162,Khaki,$9.22 
41,1288,07/04/18,Asteraceae,9972 Mariners Cove Pass,147-782-8714,Aquamarine,$8.48 
42,2326,07/28/18,Fabaceae,65 Burrows Street,627-438-0608,Turquoise,$5.15 
43,2318,06/11/18,Pittosporaceae,0541 Duke Court,721-227-6626,Maroon,$9.51 
44,1111,05/01/18,Solanaceae,64 Moulton Crossing,157-136-6477,Maroon,$8.21 
45,1541,09/24/18,Fabaceae,8722 Harper Hill,904-525-7410,Green,$7.04 
46,1604,07/28/18,Asteraceae,4647 Acker Crossing,522-147-7810,Violet,$5.93 
47,2242,06/17/18,Hypnaceae,7 Vermont Lane,452-357-6436,Green,$5.69 
48,1977,06/03/18,Thelypteridaceae,10974 Delaware Lane,467-345-1914,Aquamarine,$6.21 
49,1102,10/08/18,Cyperaceae,84732 Dennis Drive,689-942-3985,Pink,$9.15 
50,2431,06/08/18,Brassicaceae,47 Bunting Park,657-682-7116,Teal,$8.15 
51,1425,10/28/18,Oxalidaceae,5077 Karstens Place,760-557-5209,Fuscia,$7.48 
52,2575,09/07/18,Berberidaceae,255 Fulton Street,435-897-5710,Orange,$9.89 
53,2325,08/21/18,Asteraceae,79 Logan Plaza,293-163-3468,Blue,$8.51 
54,2670,08/05/18,Rosaceae,18 Maple Center,997-279-6026,Mauv,$8.94 
55,1490,10/26/18,Bignoniaceae,29067 Bultman Circle,258-119-4322,Pink,$9.22 
56,1820,10/07/18,Fabaceae,65172 Cody Alley,399-291-0963,Violet,$9.26 
57,1447,08/21/18,Onagraceae,94 Lighthouse Bay Court,173-198-6069,Goldenrod,$9.63 
58,1505,10/05/18,Primulaceae,5 Hermina Alley,387-575-6708,Green,$7.82 
59,1244,08/17/18,Apiaceae,0709 Kenwood Avenue,535-678-8495,Red,$7.77 
60,2263,09/18/18,Ditrichaceae,2 Di Loreto Park,535-203-5646,Teal,$7.74 
61,2012,09/28/18,Myrtaceae,92826 Coolidge Road,812-459-9989,Aquamarine,$5.75 
62,2175,05/22/18,Asteraceae,14 Esch Point,558-237-4554,Green,$7.99 
63,1076,07/31/18,Brassicaceae,0 Mendota Place,739-728-3735,Green,$7.84 
64,1429,09/09/18,Scrophulariaceae,340 Eliot Park,168-799-9937,Red,$7.41 
65,2519,05/31/18,Lichinaceae,940 Briar Crest Parkway,288-944-9226,Indigo,$6.21 
66,1479,07/14/18,Violaceae,9649 Hazelcrest Alley,316-676-1408,Green,$9.72 
67,1625,10/24/18,Solanaceae,2815 Green Road,491-710-7310,Puce,$6.43 
68,1359,07/22/18,Gesneriaceae,42186 Dwight Drive,972-559-1304,Violet,$8.76 
69,2952,07/22/18,Hypnaceae,2 Northport Park,431-548-1887,Aquamarine,$6.80 
70,2892,06/27/18,Fabaceae,43 Service Avenue,399-884-1082,Yellow,$9.00 
71,2426,08/02/18,Scrophulariaceae,58 Summerview Lane,437-725-5741,Fuscia,$9.72 
72,1224,06/03/18,Trypetheliaceae,4 Vernon Terrace,811-832-6342,Goldenrod,$8.93 
73,1695,08/01/18,Poaceae,3383 Harbort Street,540-685-6404,Puce,$5.94 
74,2448,09/15/18,Gomphillaceae,177 Buell Junction,764-256-2550,Fuscia,$5.24 
75,2493,10/17/18,Convolvulaceae,60 Brown Place,571-549-9811,Blue,$7.89 
76,2849,09/24/18,Myrtaceae,588 Hayes Way,410-603-2896,Crimson,$9.31 
77,2399,10/05/18,Nyctaginaceae,99611 Oneill Junction,251-362-5106,Green,$8.66 
78,2951,06/11/18,Betulaceae,28464 Clarendon Road,587-619-8466,Orange,$9.28 
79,2129,05/27/18,Boraginaceae,0 Bay Terrace,524-527-8281,Crimson,$7.79 
80,2652,06/30/18,Poaceae,020 Bunker Hill Avenue,551-349-8848,Crimson,$6.52 
81,1993,08/24/18,Fabaceae,8 David Hill,166-426-1694,Puce,$6.05 
82,2961,06/12/18,Poaceae,4586 Swallow Trail,298-285-4430,Pink,$5.94 
83,1998,09/29/18,Gleicheniaceae,083 Hintze Circle,251-623-0495,Purple,$7.81 
84,2721,10/25/18,Poaceae,5 Meadow Vale Terrace,971-123-4614,Fuscia,$6.57 
85,2966,07/03/18,Myrtaceae,40577 Delladonna Street,312-290-6514,Yellow,$7.01 
86,1121,06/12/18,Parmeliaceae,39778 Lillian Park,297-716-7846,Maroon,$5.56 
87,2259,06/17/18,Verrucariaceae,532 Pankratz Way,610-337-2856,Aquamarine,$8.59 
88,2856,06/13/18,Solanaceae,3 Vermont Avenue,964-766-0232,Green,$7.71 
89,2732,08/18/18,Poaceae,3686 Laurel Drive,585-702-4223,Pink,$9.55 
90,2283,09/12/18,Campanulaceae,6717 Derek Hill,517-116-9970,Indigo,$7.50 
91,1858,07/22/18,Hypnaceae,523 Esker Road,967-215-6902,Indigo,$9.17 
92,1615,05/26/18,Apiaceae,2480 Hanover Parkway,369-764-0469,Turquoise,$7.86 
93,2644,05/22/18,Tiliaceae,7 Namekagon Terrace,328-966-7645,Fuscia,$7.93 
94,1522,07/27/18,Lamiaceae,5 Gulseth Pass,414-945-2700,Maroon,$8.58 
95,2692,06/07/18,Parmeliaceae,691 Dovetail Way,460-945-3493,Fuscia,$5.81 
96,2662,08/22/18,Anacardiaceae,31676 Nancy Center,137-494-8998,Pink,$8.14 
97,2444,09/10/18,Poaceae,214 Lakeland Road,536-130-4059,Green,$8.81 
98,1025,09/22/18,Apiaceae,1460 Ryan Center,620-994-5019,Goldenrod,$5.97 
99,2716,07/05/18,Rosaceae,9 Holy Cross Junction,378-427-1367,Red,$7.54 
100,1477,06/26/18,Asteraceae,0592 Dottie Point,858-306-2430,Puce,$5.45 
101,2041,08/04/18,Melastomataceae,03 Oak Road,644-365-3919,Goldenrod,$6.12 
102,1590,07/28/18,Caryophyllaceae,46 Steensland Alley,952-505-3968,Khaki,$9.66 
103,1281,07/25/18,Cyperaceae,94 Chive Parkway,986-507-8783,Green,$5.29 
104,2234,05/21/18,Cyperaceae,15 Sherman Place,922-240-5237,Yellow,$7.03 
105,2534,06/24/18,Fabaceae,22 Park Meadow Way,512-561-6931,Teal,$6.83 
106,2846,10/28/18,Asteraceae,86913 Transport Avenue,358-160-6262,Red,$6.12 
107,1320,08/13/18,Chenopodiaceae,9 Dapin Terrace,884-182-0086,Yellow,$7.28 
108,1172,07/15/18,Caryophyllaceae,143 Memorial Hill,427-259-5960,Indigo,$7.09 
109,1442,07/31/18,Fabaceae,7748 Mcbride Circle,134-791-5585,Violet,$5.01 
110,1458,06/03/18,Asteraceae,992 5th Street,422-409-2573,Yellow,$7.78 
111,1979,07/03/18,Asteraceae,0 Fieldstone Road,557-379-1317,Orange,$9.15 
112,1960,07/10/18,Apiaceae,6 Fairfield Terrace,441-607-3491,Goldenrod,$7.58 
113,2890,06/21/18,Onagraceae,9 Forster Court,140-716-4459,Goldenrod,$5.72 
114,1004,08/26/18,Hydrophyllaceae,10896 Larry Park,703-568-7860,Indigo,$8.87 
115,1092,05/25/18,Fabaceae,06 Gateway Parkway,123-309-4738,Fuscia,$8.05 
116,2778,06/09/18,Selaginellaceae,19735 Manufacturers Lane,158-765-2703,Green,$8.86 
117,2072,10/01/18,Fumariaceae,90160 John Wall Court,853-984-6520,Khaki,$9.80 
118,2783,07/09/18,Dicranaceae,51 Mesta Place,655-236-0874,Turquoise,$5.73 
119,2864,07/09/18,Asteraceae,1481 Katie Point,628-147-7744,Pink,$8.80 
120,1296,08/16/18,Fabaceae,8 Troy Junction,742-903-5070,Aquamarine,$6.18 
121,1546,07/14/18,Scrophulariaceae,576 Monica Terrace,526-551-4761,Maroon,$7.28 
122,2520,05/05/18,Myrtaceae,8 Anhalt Trail,540-560-8350,Blue,$5.57 
123,2906,07/08/18,Fabaceae,9292 Morning Court,979-723-6777,Teal,$6.62 
124,2405,06/29/18,Lecythidaceae,0101 Myrtle Avenue,971-328-3496,Turquoise,$9.12 
125,2282,10/24/18,Polygonaceae,56 Eastwood Terrace,989-237-2664,Green,$9.34 
126,1445,08/08/18,Brassicaceae,3418 Oakridge Avenue,630-427-5097,Violet,$7.82 
127,2114,06/25/18,Rosaceae,12 Northridge Trail,269-878-5944,Blue,$5.65 
128,1399,09/12/18,Clusiaceae,691 La Follette Avenue,488-707-1342,Orange,$8.53 
